Han_Ji,Chu_Im,Freq,Siann,Un, Tiau 
,chho2,,chh,o, 2 
一,qit4,,q,it, 4 
丨,khun2,,kh,un, 2 
丶,chhu2,,chh,u, 2 
丿,phiat4,,ph,iat, 4 
乀,hut4,,h,ut, 4 
乙,qit4,,q,it, 4 
亅,koat8,,k,oat, 8 
𠂆,qi7,,q,i, 7 
𠃉,qat4,,q,at, 4 
𠄌,khoat4,,kh,oat, 4 
丁,teng1,,t,eng, 1 
丂,kho2,,kh,o, 2 
七,chit4,,ch,it, 4 
丩,khiat4,,kh,iat, 4 
丩,kiu1,,k,iu, 1 
乂,gainn7,,g,ainn, 7 
乃,lainn2,,l,ainn, 2 
乜,bia2,,b,ia, 2 
乜,bia5,,b,ia, 5 
九,kiu2,,k,iu, 2 
九,kiu5,0.10 ,k,iu, 5 
了,liau2,,l,iau, 2 
二,ji7,,j,i, 7 
人,jin5,,j,in, 5 
亻𤰞,pi7,0.01 ,p,i, 7 
入,jip8,,j,ip, 8 
八,pat4,,p,at, 4 
几,ki2,,k,i, 2 
刀,to1,,t,o, 1 
刁,thiau1,,th,iau, 1 
刁,tiau1,,t,iau, 1 
力,lek8,,l,ek, 8 
勹,pau1,0.01 ,p,au, 1 
匕,pi2,,p,i, 2 
十,sip8,,s,ip, 8 
卜,pok4,,p,ok, 4 
卩,chhiat4,,chh,iat, 4 
厂,han2,,h,an, 2 
厶,boo2,,b,oo, 2 
又,qiu7,,q,iu, 7 
𠄞,siang7,0.01 ,s,iang, 7 
𠄟,he7,0.01 ,h,e, 7 
𠤎,hoa3,0.01 ,h,oa, 3 
万,ban7,,b,an, 7 
万,bek8,,b,ek, 8 
丈,tiang7,,t,iang, 7 
三,sam1,,s,am, 1 
三,sam3,,s,am, 3 
上,siang2,0.10 ,s,iang, 2 
上,siang7,,s,iang, 7 
下,he7,,h,e, 7 
丌,ki5,,k,i, 5 
个,ko3,0.01 ,k,o, 3 
丫,qa1,,q,a, 1 
丸,qoan5,,q,oan, 5 
久,kiu2,,k,iu, 2 
乇,chhek4,,chh,ek, 4 
乇,thok4,,th,ok, 4 
么,qiau1,,q,iau, 1 
乞,khit4,,kh,it, 4 
也,qi2,0.01 ,q,i, 2 
也,qia2,,q,ia, 2 
也,qia7,0.10 ,q,ia, 7 
亍,chiok4,,ch,iok, 4 
于,hi1,0.01 ,h,i, 1 
于,qi1,,q,i, 1 
于,qi5,,q,i, 5 
亡,bong5,,b,ong, 5 
亡,bu5,0.01 ,b,u, 5 
亼,chhip8,0.01 ,chh,ip, 8 
亾,bong5,0.01 ,b,ong, 5 
兀,gut8,,g,ut, 8 
凡,hoan5,,h,oan, 5 
凡,hoan7,0.10 ,h,oan, 7 
刃,jim7,,j,im, 7 
勺,chhiak4,,chh,iak, 4 
千,chian1,,ch,ian, 1 
叉,cha1,,ch,a, 1 
叉,che1,,ch,e, 1 
口,khoo2,,kh,oo, 2 
土,thoo2,,th,oo, 2 
土,too7,0.01 ,t,oo, 7 
士,su7,,s,u, 7 
夊,chhi2,,chh,i, 2 
夕,sek8,,s,ek, 8 
大,tai7,,t,ai, 7 
大,thai3,0.01 ,th,ai, 3 
女,ji2,0.01 ,j,i, 2 
女,li2,,l,i, 2 
女,linn7,0.10 ,l,inn, 7 
子,chhu2,,chh,u, 2 
孑,khiat4,,kh,iat, 4 
宀,bian5,,b,ian, 5 
寸,chun3,,ch,un, 3 
小,siau2,,s,iau, 2 
尸,si1,,s,i, 1 
山,san1,,s,an, 1 
川,choan1,,ch,oan, 1 
工,kong1,,k,ong, 1 
己,chhi7,0.10 ,chh,i, 7 
己,ki2,,k,i, 2 
已,chhiat4,0.01 ,chh,iat, 4 
已,qi2,,q,i, 2 
巾,kin1,,k,in, 1 
干,kan1,,k,an, 1 
幺,qiau1,,q,iau, 1 
广,siam2,,s,iam, 2 
弋,qek8,,q,ek, 8 
弓,kiong1,,k,iong, 1 
彡,sam1,,s,am, 1 
彳,chek4,,ch,ek, 4 
才,chai5,0.01 ,ch,ai, 5 
才,chhai5,,chh,ai, 5 
𠃔,qun2,0.01 ,q,un, 2 
𠄑,koat4,,k,oat, 4 
𠆣,chhoa2,,chh,oa, 2 
𠓛,jip8,,j,ip, 8 
𡕒,khoa2,,kh,oa, 2 
𡕒,khoa3,,kh,oa, 3 
㕛,qiu2,,q,iu, 2 
㢧,koan3,0.01 ,k,oan, 3 
不,hiu1,0.10 ,h,iu, 1 
不,hoo2,0.01 ,h,oo, 2 
不,hu1,0.01 ,h,u, 1 
不,put4,,p,ut, 4 
与,qi2,0.01 ,q,i, 2 
丏,bian2,,b,ian, 2 
丐,kai3,,k,ai, 3 
丑,thiu2,,th,iu, 2 
中,tiong1,,t,iong, 1 
中,tiong3,0.10 ,t,iong, 3 
丮,kit4,,k,it, 4 
丰,hong1,,h,ong, 1 
丹,tan1,,t,an, 1 
之,chhi1,,chh,i, 1 
予,qi2,,q,i, 2 
予,qi5,,q,i, 5 
云,qin5,,q,in, 5 
互,hoo7,,h,oo, 7 
亓,ki5,0.01 ,k,i, 5 
五,gonn2,,g,onn, 2 
井,chheng2,,chh,eng, 2 
亖,su3,0.01 ,s,u, 3 
亢,khong1,,kh,ong, 1 
亢,khong3,,kh,ong, 3 
什,sip8,,s,ip, 8 
仁,jin5,,j,in, 5 
仂,lek8,,l,ek, 8 
仃,teng1,,t,eng, 1 
仄,chhek4,,chh,ek, 4 
仅,hu3,0.01 ,h,u, 3 
仆,hiu3,,h,iu, 3 
仆,hu3,,h,u, 3 
仇,kiu5,0.10 ,k,iu, 5 
仇,siu5,,s,iu, 5 
仈,pat4,,p,at, 4 
仉,chhiang2,,chh,iang, 2 
今,kim1,,k,im, 1 
介,kai3,,k,ai, 3 
